"product","substance_name","substance_synonym","abbreviation","abbreviation_synonym","substance_group","cas_number","source","source_text"
"Wires and cables: Insulation",,,"PEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: Insulation",,,"PFA",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: Insulation",,,"PFPE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: Insulation",,,"PTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: Insulation",,,"PVDF",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"ECTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"ETFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"FEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"FEPM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"FKM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"FMVQ",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"PEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"PFA",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"PFPE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"PTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: binders",,,"PVDF",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"ECTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"ETFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"FEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"FEPM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"FKM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"FMVQ",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"PEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"PFA",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"PFPE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"PTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: jackets",,,"PVDF",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"ECTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"ETFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"FEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"FEPM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"FKM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"FMVQ",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"PEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"PFA",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"PFPE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"PTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sheaths",,,"PVDF",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"ECTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"ETFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"FEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"FEPM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"FKM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"FMVQ",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"PEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"PFA",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"PFPE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"PTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: sleeves",,,"PVDF",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"ECTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"ETFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"FEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"FEPM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"FKM",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"FMVQ",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"PEP",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"PFA",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"PFPE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"PTFE",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"Wires and cables: tapes",,,"PVDF",,,,"A.51","Polymeric PFAS: PTFE, PFA, ETFE, FEP, FEPM, PFPE, PVDF, ECTFE, PEP, FKM, FMVQ"
"transfer fluid","1,2",,,,,,"A.51","R1233zd, R1336mzz or 1,1,1,2,2,3,3-Heptafluoro-3-methoxy-propane (HFE-7000)"
"transfer fluid","2,3",,,,,,"A.51","R1233zd, R1336mzz or 1,1,1,2,2,3,3-Heptafluoro-3-methoxy-propane (HFE-7000)"
"transfer fluid","3-Heptafluoro-3-methoxy-propane",,"HFE-7000",,,,"A.51","R1233zd, R1336mzz or 1,1,1,2,2,3,3-Heptafluoro-3-methoxy-propane (HFE-7000)"
"transfer fluid","R1233zd",,,,,,"A.51","R1233zd, R1336mzz or 1,1,1,2,2,3,3-Heptafluoro-3-methoxy-propane (HFE-7000)"
"transfer fluid","R1336mzz or 1,1",,,,,,"A.51","R1233zd, R1336mzz or 1,1,1,2,2,3,3-Heptafluoro-3-methoxy-propane (HFE-7000)"
"transfer fluid: Engineered fluid (indirect cooling","FK 5-1-12 (Perfluoro(2-methyl- 3-pentanone)",,,,,,"A.51","Non-polymeric PFAS: FK 5-1-12 (Perfluoro(2-methyl- 3-pentanone)"
"transfer fluid: Thermal management systems","Hydrofluoroleofins (HFOs) e.g. HFO 1336mzz-Z and Hydrofluoroethers",,"HFEs",,,,"A.51","Fluorinated gases: Hydrofluoroleofins (HFOs) e.g. HFO 1336mzz-Z and Hydrofluoroethers (HFEs)"
"transfer fluid: cold plate)","FK 5-1-12 (Perfluoro(2-methyl- 3-pentanone)",,,,,,"A.51","Non-polymeric PFAS: FK 5-1-12 (Perfluoro(2-methyl- 3-pentanone)"
"transfer fluid: immersion cooling","1,1",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","1,4",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","1-ethoxy-1,1",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","2,2",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","2,3",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","2-(Trifluoromethyl)-3-ethoxydodecafluorohexane",,"HFE-7100",,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran,1",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","3,3",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","4,4",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","4,5",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
"transfer fluid: immersion cooling","4-Hexafluoro-2-buten",,,,,,"A.51","Fluorinated gases: HFO and HFE. HFO e.g. (Z)-1,1,1,4,4,4-Hexafluoro-2-buten, HFE e.g. Butane, 1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluoro-, 2,3,3,4,4-pentafluoro-5-methoxy-2,5-bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]tetrahyd rofuran, 1,1,1,2,2,4,5,5,5-nonafluoro- 4-(trifluoromethyl)-3-pentanone, 2-(Trifluoromethyl)-3-ethoxydodecafluorohexane, HFE-7100; CAS No. 163702-08-7, HFE-7200; CAS No. 163702-05-4, HFE-7300; CAS No. 132182-92-4, HFE-7500; CAS No. 297730-93-9, HFE- 356mec; CAS No. 382-34-3 Non-polymeric PFAS: Perfluamine, Reaction mass of 1,1,2,2,3,3,4,4,4-nonafluoro- N,N-bis(nonafluorobutyl)butan- 1-amine and 1,1,2,2,3,3,4,4,4-nonafluoro-N-[1,1,2,3,3-hexafluoro-2- (trifluoromethyl)propyl]-N- (1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine, nonafluoro-2-trifluoromethyl-3-pentanone (CAS number 756-13-8)"
